DATE,MOTOR COIL,FRONT IN,REAR_IN,FRONT OUT,REAR OUT,MACHINE TEMP,VIBRATION,VIB-X,VIB-Y,VIB-Z,SPINDLE LOAD,SPINDLE COMMAND SPEED,SPINDLE ACTUAL SPEED,SPINDLE DIRECTION,FEED SPEED,FEED OVERRIDE,FEED ACTUAL SPEED,DI_CUT,JOG OVERRIDE,RAPID OVERRIDE,FEED AXIS STATUS,RELATIVE1,RELATIVE2,RELATIVE3,RELATIVE4,RELATIVE5,RELATIVE6,RELATIVE7,RELATIVE8,ABSOLUTE1,ABSOLUTE2,ABSOLUTE3,ABSOLUTE4,ABSOLUTE5,ABSOLUTE6,ABSOLUTE7,ABSOLUTE8,MACHINE1,MACHINE2,MACHINE3,MACHINE4,MACHINE5,MACHINE6,MACHINE7,MACHINE8,DISTANCE1,DISTANCE2,DISTANCE3,DISTANCE4,DISTANCE5,DISTANCE6,DISTANCE7,DISTANCE8,LOAD1,LOAD2,LOAD3,LOAD4,LOAD5,LOAD6,LOAD7,LOAD8,NC MODE,NC STATUS,SPINDLE POT,SPINDLE PTN,MAIN PROGRAM,EXEC PROGRAM,SEQ NUMBER,MAIN COMMENT,MACHINE ALARM,MACHINE WARNING,EXEC BLOCK,BLOCK COUNTER,SPINDLE FTN,SPINDLE ITN,EMERGENCY,ADDITIONAL INCYCLE STATUS,CUTTING REMOVAL AMOUNT,SPINDLE OVERRIDE,MSPINDLE LOAD
"2019/08/12 09:00:02:636","28.6","","","26.8","26.4","","","0.0","0.0","0.0","1.85","4000","4000","CW","432","100","14.91","1","50.00","100","01000100","-5.92323","-43.59709","-30.67380","5400.0000","0.0003","-43.59902","-30.67395","0.0000","71.07086","22.75420","0.80986","0.0000","0.0000","-43.59902","0.93000","0.0000","-5.92330","-43.59902","-30.67384","0.0000","0.0000","-43.59902","-30.67384","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","30","29","44","-3","0","29","39","0","MEMORY","START","22","75025019","2712","2003","69184","68A314071 2012 -2712 OP2","0","0","N69184 Z0.93000 F432. ","18281","0","0","0","-1","","100",""
"2019/08/12 09:00:05:655","28.6","","","26.8","26.4","","","0.0","0.0","0.0","1.72","4000","4000","CW","72","100","72.00","1","50.00","100","00000011","-1.67149","-42.97732","-30.76392","5400.0000","0.0003","-42.97925","-30.76407","0.0000","75.31063","23.38899","0.68000","0.0000","0.0000","-42.96423","0.68000","0.0000","-1.67156","-42.97925","-30.76396","0.0000","0.0000","-42.97925","-30.76396","0.0000","-0.11021","0.13820","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","32","48","6","-4","-1","48","5","0","MEMORY","START","22","75025019","2712","2003","69190","68A314071 2012 -2712 OP2","0","0","N69190 Y22.80038 F144. ","18287","0","0","0","-1","","100",""
"2019/08/12 09:00:08:640","28.6","","","26.8","26.4","","","0.0","0.0","0.0","1.48","4000","4000","CW","432","100","240.32","0","50.00","100","00000011","0.04141","-43.44626","-27.14392","5400.0000","0.0003","-43.44819","-27.14407","0.0000","77.03550","22.90503","4.30000","0.0000","0.0000","-43.44819","4.13202","0.0000","0.04134","-43.44819","-27.14396","0.0000","0.0000","-43.44819","-27.14396","0.0000","0.00000","0.00000","-3.37000","0.0000","0.0000","0.00000","0.00000","0.0000","77","23","-6","-4","-1","24","-5","1","MEMORY","START","22","75025019","2712","2003","69212","68A314071 2012 -2712 OP2","0","0","N69212 Z0.93000 ","18309","0","0","0","-1","","100",""
"2019/08/12 09:00:11:655","28.6","","","26.8","26.4","","","0.0","0.0","0.0","1.56","4000","4000","CW","432","100","21.43","0","50.00","100","00000011","-0.57742","-43.32815","-27.14392","5400.0000","0.0003","-43.33007","-27.14407","0.0000","76.41667","23.02315","4.30000","0.0000","0.0000","-43.33007","4.30000","0.0000","-0.57749","-43.33007","-27.14396","0.0000","0.0000","-43.33007","-27.14396","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","199","150","0","-4","0","150","-4","0","MEMORY","START","22","75025019","2712","2003","69227","68A314071 2012 -2712 OP2","0","0","N69228 Z0.93000 ","18325","0","0","0","-1","","100",""
"2019/08/12 09:00:14:636","28.6","","","26.8","26.4","","","0.1","0.1","0.0","1.70","4000","4000","CW","432","100","66.31","1","50.00","100","01000100","-1.66359","-41.63755","-30.53660","5400.0000","0.0003","-41.63948","-30.53675","0.0000","75.33050","24.71374","0.92194","0.0000","0.0000","-41.63948","0.93000","0.0000","-1.66366","-41.63948","-30.53664","0.0000","0.0000","-41.63948","-30.53664","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","-6","33","23","-4","3","33","22","-3","MEMORY","START","22","75025019","2712","2003","69253","68A314071 2012 -2712 OP2","0","0","N69253 Z0.93000 F432. ","18351","0","0","0","-1","","100",""
"2019/08/12 09:00:17:643","28.6","","","26.8","26.4","","","0.0","0.0","0.0","1.80","4000","3999","CW","144","100","56.17","1","50.00","100","00000011","-0.45170","-41.27822","-30.76392","5400.0000","0.0003","-41.28014","-30.76407","0.0000","76.54239","25.04760","0.68000","0.0000","0.0000","-41.30562","0.68000","0.0000","-0.45177","-41.28014","-30.76396","0.0000","0.0000","-41.28014","-30.76396","0.0000","0.00000","-0.46506","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","-25","-4","7","-4","6","-4","2","-6","MEMORY","START","22","75025019","2712","2003","69269","68A314071 2012 -2712 OP2","0","0","N69269 Z0.93000 F432. ","18366","0","0","0","-1","","99.9",""
"2019/08/12 09:00:20:631","28.6","","","26.8","26.4","","","0.0","0.0","0.0","1.68","4000","4000","CW","432","100","223.67","0","50.00","100","01000100","4.18829","-41.83770","-30.51788","5400.0000","0.0003","-41.83963","-30.51803","0.0000","81.18238","24.51359","0.92605","0.0000","0.0000","-41.83963","0.87240","0.0000","4.18822","-41.83963","-30.51791","0.0000","0.0000","-41.83963","-30.51791","0.0000","0.00000","0.00000","-0.24605","0.0000","0.0000","0.00000","0.00000","0.0000","-12","24","12","-4","3","24","15","-2","MEMORY","START","22","75025019","2712","2003","69274","68A314071 2012 -2712 OP2","0","0","N69274 X81.67549 ","18371","0","0","0","-1","","100",""
"2019/08/12 09:00:23:656","28.6","","","26.8","26.5","","","0.0","0.0","0.0","1.54","4000","3999","CW","432","100","18.08","0","50.00","100","01000100","6.47479","-41.79317","-27.57301","5400.0000","0.0003","-41.79510","-27.57316","0.0000","83.46888","24.55812","3.87091","0.0000","0.0000","-41.79510","1.86430","0.0000","6.47472","-41.79510","-27.57305","0.0000","0.0000","-41.79510","-27.57305","0.0000","0.00000","0.00000","-2.94091","0.0000","0.0000","0.00000","0.00000","0.0000","-11","35","-195","-4","0","35","-193","-1","MEMORY","START","22","75025019","2712","2003","69288","68A314071 2012 -2712 OP2","0","0","N69288 Z0.93000 ","18385","0","0","0","-1","","99.9",""
"2019/08/12 09:00:26:647","28.6","","","26.8","26.5","","","0.0","0.0","0.0","2.06","4000","3999","CW","432","100","349.92","0","50.00","100","01000100","5.68951","-41.88720","-29.44815","5400.0000","0.0003","-41.88913","-29.44830","0.0000","82.68360","24.46409","2.24264","0.0000","0.0000","-41.88913","4.30000","0.0000","5.68944","-41.88913","-29.44819","0.0000","0.0000","-41.88913","-29.44819","0.0000","0.00000","0.00000","2.30423","0.0000","0.0000","0.00000","0.00000","0.0000","16","28","167","-4","3","28","170","-3","MEMORY","START","22","75025019","2712","2003","69306","68A314071 2012 -2712 OP2","0","0","N69306 G00 Z4.30000 ","18403","0","0","0","-1","","99.9",""
"2019/08/12 09:00:29:644","28.6","","","26.8","26.5","","","0.0","0.0","0.0","1.85","4000","4000","CW","432","100","96.44","1","50.00","100","01000100","5.78334","-43.78542","-30.51418","5400.0000","0.0003","-43.78735","-30.51434","0.0000","82.77743","22.56587","0.93000","0.0000","0.0000","-43.78735","0.93000","0.0000","5.78327","-43.78735","-30.51422","0.0000","0.0000","-43.78735","-30.51422","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","-12","28","-17","-4","3","28","-17","-4","MEMORY","START","22","75025019","2712","2003","69322","68A314071 2012 -2712 OP2","0","0","N69322 G00 Z4.30000 ","18419","0","0","0","-1","","100",""
